episode,train_cscqi,train_isr,critic_loss,actor_loss
50,1.0158,0.700,0.0289,-0.4216
100,0.8818,0.600,0.0845,-0.6966
150,1.2067,0.700,0.0179,-0.9805
200,0.7006,0.600,0.0390,-1.0514
250,0.2358,0.350,0.4536,-1.0014
300,0.6859,0.600,0.0417,-0.9729
350,0.9463,0.700,0.0329,-0.9229
400,0.6737,0.550,0.0329,-1.0246
450,0.9307,0.650,0.0299,-1.2308
500,0.9241,0.600,0.0275,-1.6432
550,1.3921,0.800,0.0398,-2.1445
600,1.4541,0.800,0.0196,-2.4877
650,1.2850,0.700,0.0242,-2.6705
700,1.2872,0.700,0.0175,-2.7674
750,1.3711,0.750,0.0184,-2.7975
800,1.3646,0.800,0.0173,-2.7779
850,1.3159,0.800,0.0161,-2.9153
900,1.2978,0.700,0.0164,-2.9252
950,1.4691,0.800,0.0196,-2.8230
1000,1.5343,0.850,0.0178,-2.7859
