tpc,policy,isr_mean,isr_std,delay_mean,dist_mean,n_eval
1,HDM,0.9150,0.1207,0.4258,0.3100,200
1,AC,0.9610,0.0841,0.3431,0.3240,200
1,PPO,0.9610,0.0910,0.3694,0.3317,200
1,SAC,0.7580,0.1739,0.1632,0.4195,200
1,Static,0.8420,0.1582,0.1120,0.3760,200
2,HDM,0.8595,0.1068,0.2156,0.3695,200
2,AC,0.8640,0.0975,0.1517,0.3648,200
2,PPO,0.8620,0.0962,0.1546,0.3655,200
2,SAC,0.8560,0.1177,0.7077,0.3261,200
2,Static,0.8160,0.1251,0.2411,0.3847,200
4,HDM,0.8165,0.0809,0.4677,0.3650,200
4,AC,0.8575,0.0708,0.3333,0.3622,200
4,PPO,0.7447,0.0810,0.1892,0.4298,200
4,SAC,0.7488,0.0859,0.1816,0.4254,200
4,Static,0.7478,0.0856,0.5353,0.3623,200
10,HDM,0.5900,0.0619,1.4013,0.3803,200
10,AC,0.7306,0.0587,0.6042,0.4113,200
10,PPO,0.7563,0.0527,0.5279,0.4221,200
10,SAC,0.7362,0.0619,0.5076,0.4249,200
10,Static,0.6239,0.0607,1.3136,0.3709,200
