n_cscas,tpc,policy,isr_mean,isr_std,delay_mean,dist_mean,n_eval
10,1,HDM,0.3180,0.1291,2.9512,0.5349,200
10,1,AC,0.5340,0.1347,0.3873,0.6220,200
10,1,PPO,0.4715,0.1343,0.2099,0.6617,200
10,1,SAC,0.4145,0.1202,1.4593,0.6337,200
10,1,Static,0.6040,0.1455,0.5521,0.5791,200
10,2,HDM,0.3685,0.0920,1.3922,0.6196,200
10,2,AC,0.4528,0.0924,0.6017,0.6356,200
10,2,PPO,0.4650,0.0923,0.3781,0.6533,200
10,2,SAC,0.3160,0.0734,2.9725,0.6384,200
10,2,Static,0.4848,0.0962,1.0996,0.5747,200
10,4,HDM,0.2282,0.0702,3.1785,0.6154,200
10,4,AC,0.3310,0.0594,1.4079,0.6155,200
10,4,PPO,0.3547,0.0559,1.3678,0.6164,200
10,4,SAC,0.1429,0.0422,9.0547,0.6091,200
10,4,Static,0.3448,0.0575,2.2442,0.5737,200
10,10,HDM,0.1586,0.0329,3.1288,0.6827,200
10,10,AC,0.1867,0.0340,3.6140,0.6089,200
10,10,PPO,0.1812,0.0360,4.1274,0.6019,200
10,10,SAC,0.0842,0.0192,19.1981,0.6066,200
10,10,Static,0.2045,0.0349,5.6232,0.5735,200
